id_utilisateur,age,sexe,langue,anciennete_mois,nb_interventions_totales,taux_annulation,type_abonnement,depense_totale_estimee,score_satisfaction,target_service,est_abonne
65,72,H,fr,12,7,0.07,Standard,287.27,4.8,Jardinage,1
66,74,H,fr,12,1,0.33,Basic,55.79,2.5,Aide à domicile,1
67,67,F,fr,31,1,0.1,Standard,161.38,3.8,Club Voyage,1
68,73,F,fr,15,4,0.15,Standard,222.21,4.9,Jardinage,1
69,69,F,fr,8,6,0.53,Basic,142.83,4.0,Yoga,1
70,64,F,en,1,1,0.2,Basic,66.67,4.7,Informatique,1
71,69,F,es,2,5,0.24,Basic,103.63,3.7,Yoga,1
72,75,F,fr,8,5,0.1,Standard,242.45,4.5,Informatique,1
73,67,F,it,50,4,0.17,Basic,83.87,3.9,Sport Senior,1
74,75,F,de,57,3,0.21,Basic,85.38,4.3,Yoga,1
75,60,F,fr,8,10,0.12,Standard,194.12,4.9,Sport Senior,1
76,72,F,fr,26,4,0.06,Basic,121.89,4.8,Aide à domicile,1
77,68,F,fr,3,2,0.1,Premium,402.64,5.0,Club Voyage,1
78,66,F,fr,5,2,0.33,Basic,72.5,3.1,Yoga,1
79,68,F,fr,6,2,0.1,Basic,55.2,4.1,Yoga,1
80,60,H,fr,15,5,0.03,Basic,100.14,4.6,Sport Senior,1
81,66,H,fr,21,3,0.1,Standard,161.05,4.9,Informatique,1
82,69,F,fr,6,5,0.17,Basic,97.03,4.6,Sport Senior,1
83,75,F,fr,8,6,0.56,Standard,249.48,3.3,Informatique,1
84,65,F,fr,1,5,0.27,Basic,131.3,3.8,Yoga,1
85,63,F,fr,4,1,0.06,Standard,164.31,4.9,Club Voyage,1
86,65,F,fr,20,4,0.42,Basic,111.67,4.1,Yoga,1
87,72,F,fr,1,3,0.29,Basic,77.67,3.7,Yoga,1
88,69,F,fr,17,3,0.16,Basic,80.47,4.5,Yoga,1
89,65,H,fr,9,5,0.05,Standard,280.35,5.0,Informatique,1
90,70,H,fr,4,6,0.22,Standard,198.0,4.2,Sport Senior,1
91,68,H,en,8,5,0.36,Basic,130.06,3.1,Sport Senior,1
92,72,H,en,8,2,0.24,Basic,93.17,4.0,Informatique,1
93,64,F,fr,45,2,0.2,Standard,286.75,5.0,Club Voyage,1
94,66,H,fr,15,4,0.16,Basic,71.81,3.4,Sport Senior,1
95,66,F,fr,7,2,0.25,None,41.66,4.4,Sport Senior,0
96,60,H,it,33,3,0.47,Standard,335.4,3.1,Club Voyage,1
97,69,H,fr,31,4,0.2,Standard,165.57,4.7,Informatique,1
98,69,F,fr,9,2,0.09,Premium,510.86,3.8,Club Voyage,1
99,68,H,fr,34,4,0.24,Basic,52.89,4.0,Sport Senior,1
100,66,F,fr,12,3,0.17,Basic,63.19,4.4,Yoga,1
101,60,F,fr,16,5,0.27,Basic,122.98,3.5,Yoga,1
102,65,H,fr,8,2,0.23,None,48.78,4.8,Sport Senior,0
103,66,F,fr,12,5,0.23,Basic,126.87,4.4,Yoga,1
104,63,H,fr,6,8,0.13,Basic,125.88,4.7,Sport Senior,1
105,67,F,en,3,5,0.23,Basic,130.07,4.8,Sport Senior,1
106,70,F,fr,6,4,0.14,Basic,111.92,5.0,Yoga,1
107,77,H,it,6,5,0.13,Standard,181.16,5.0,Jardinage,1
108,68,H,fr,18,1,0.14,Basic,70.17,4.0,Informatique,1
109,69,F,fr,7,6,0.09,Basic,89.37,4.9,Sport Senior,1
110,67,F,de,8,1,0.06,Standard,166.92,4.2,Club Voyage,1
111,60,F,fr,18,1,0.25,None,43.69,4.6,Sport Senior,0
112,67,H,fr,10,1,0.22,Standard,171.89,4.5,Club Voyage,1
113,68,F,es,6,1,0.03,Standard,162.6,4.4,Club Voyage,1
114,80,H,fr,1,5,0.14,Standard,214.26,5.0,Aide à domicile,1
115,67,H,fr,17,2,0.22,Basic,54.46,4.4,Sport Senior,1
116,69,F,de,31,3,0.46,Basic,58.0,3.1,Sport Senior,1
117,67,F,fr,1,3,0.35,Basic,72.27,3.0,Sport Senior,1
118,62,F,fr,14,3,0.25,Basic,71.77,4.1,Sport Senior,1
119,73,F,fr,9,4,0.14,Standard,169.59,3.7,Informatique,1
120,71,H,fr,22,4,0.08,Basic,91.11,4.0,Yoga,1
121,71,H,fr,3,5,0.15,Standard,164.2,4.9,Jardinage,1
122,63,H,en,6,3,0.13,Premium,583.26,3.7,Club Voyage,1
123,75,H,fr,2,6,0.11,Standard,285.16,3.8,Jardinage,1
124,60,F,fr,4,3,0.29,Basic,108.87,3.5,Sport Senior,1
125,70,F,fr,8,2,0.13,Basic,128.3,4.4,Informatique,1
126,78,F,es,31,3,0.33,Basic,91.39,3.6,Aide à domicile,1
127,63,H,fr,3,2,0.44,Standard,303.66,2.8,Club Voyage,1
128,65,H,fr,15,1,0.12,Standard,231.51,3.5,Club Voyage,1
129,68,H,fr,15,3,0.03,Basic,58.04,4.4,Sport Senior,1
130,65,F,fr,2,2,0.11,Premium,468.47,5.0,Club Voyage,1
131,60,H,fr,45,4,0.13,Basic,110.68,4.9,Sport Senior,1
132,68,F,fr,3,5,0.48,Basic,80.27,3.3,Sport Senior,1
133,62,H,en,1,5,0.22,Basic,78.15,3.5,Sport Senior,1
134,70,F,en,42,4,0.15,Basic,68.09,4.6,Sport Senior,1
135,63,F,fr,6,6,0.21,Standard,255.05,4.1,Informatique,1
136,75,F,fr,5,15,0.13,Standard,180.3,4.6,Portage repas,1
137,64,H,fr,5,2,0.12,Basic,125.74,5.0,Informatique,1
138,66,H,fr,1,3,0.21,Basic,70.37,5.0,Sport Senior,1
139,72,F,fr,14,10,0.05,Standard,189.26,4.4,Yoga,1
140,61,H,fr,18,2,0.35,Premium,415.68,3.7,Club Voyage,1
141,69,H,fr,8,7,0.21,Basic,91.96,4.4,Sport Senior,1
142,74,H,fr,3,1,0.39,Basic,67.16,5.0,Jardinage,1
143,60,H,fr,8,4,0.22,Basic,99.37,4.0,Sport Senior,1
144,68,F,fr,35,8,0.11,Standard,218.31,4.2,Yoga,1
145,69,H,fr,3,13,0.44,Standard,339.38,3.8,Portage repas,1
146,71,F,fr,1,4,0.13,Standard,194.61,4.1,Aide à domicile,1
147,61,F,fr,6,1,0.41,Standard,288.38,4.6,Club Voyage,1
148,61,H,fr,29,7,0.4,Premium,1231.93,4.5,Club Voyage,1
149,70,F,fr,6,6,0.09,Standard,266.46,5.0,Informatique,1
150,69,H,fr,16,2,0.13,None,46.64,3.8,Sport Senior,0
151,69,F,fr,1,3,0.33,Standard,365.16,5.0,Club Voyage,1
152,69,F,fr,5,8,0.1,Standard,169.01,4.1,Yoga,1
153,64,H,fr,11,4,0.04,Basic,89.99,5.0,Sport Senior,1
154,69,F,de,9,2,0.48,Standard,351.07,4.1,Club Voyage,1
155,69,F,fr,10,4,0.15,Basic,96.17,3.5,Sport Senior,1
156,64,F,en,7,6,0.13,Basic,119.32,5.0,Sport Senior,1
157,77,H,en,12,7,0.44,Standard,192.44,4.2,Aide à domicile,1
158,70,F,en,22,5,0.47,Basic,60.36,4.9,Sport Senior,1
159,62,F,fr,2,2,0.26,Basic,123.7,3.7,Informatique,1
160,71,F,fr,6,6,0.13,Standard,319.76,3.9,Informatique,1
161,63,H,en,16,5,0.29,Basic,130.32,3.5,Sport Senior,1
162,71,F,fr,19,3,0.4,Basic,132.18,3.9,Aide à domicile,1
163,73,F,fr,12,4,0.47,Basic,129.35,4.0,Aide à domicile,1
164,63,H,fr,6,1,0.16,Standard,204.46,4.7,Club Voyage,1
165,72,H,fr,4,4,0.15,Standard,174.52,4.0,Jardinage,1
166,70,F,fr,9,3,0.36,Basic,70.64,3.4,Sport Senior,1
167,72,H,es,6,3,0.06,Standard,154.92,5.0,Informatique,1
168,77,F,it,14,2,0.2,Basic,68.77,4.9,Yoga,1
169,66,F,fr,16,4,0.17,Basic,82.42,4.9,Yoga,1
170,64,F,es,10,4,0.16,Standard,196.47,4.6,Informatique,1
171,63,F,fr,20,2,0.15,Basic,54.44,5.0,Sport Senior,1
172,63,F,fr,2,1,0.29,None,31.3,3.7,Sport Senior,0
173,67,F,fr,27,4,0.03,Basic,89.61,4.5,Yoga,1
174,69,F,fr,2,4,0.02,Basic,128.3,4.8,Informatique,1
175,69,H,en,14,2,0.08,Premium,505.61,4.7,Club Voyage,1
176,72,H,fr,7,4,0.06,Basic,107.62,4.8,Yoga,1
177,68,F,fr,8,1,0.34,None,27.71,1.8,Sport Senior,0
178,75,F,es,32,3,0.09,Basic,132.2,4.5,Aide à domicile,1
179,66,F,fr,10,4,0.44,Basic,112.37,3.1,Yoga,1
180,81,H,fr,3,5,0.52,Standard,347.06,3.8,Soins Infirmiers,1
181,71,H,fr,15,2,0.04,Basic,99.61,4.9,Jardinage,1
182,63,H,en,26,5,0.14,Basic,103.24,5.0,Sport Senior,1
183,62,F,de,32,2,0.09,Standard,370.83,4.5,Club Voyage,1
184,70,F,fr,7,1,0.14,None,22.95,5.0,Yoga,0
185,66,F,fr,21,14,0.34,Standard,199.7,4.4,Portage repas,1
186,71,F,fr,16,7,0.1,Basic,140.76,4.8,Yoga,1
187,70,H,de,28,5,0.09,Basic,71.99,5.0,Sport Senior,1
188,67,H,es,17,10,0.43,Standard,322.19,2.9,Jardinage,1
189,63,H,fr,23,6,0.04,Standard,260.41,4.8,Informatique,1
190,60,H,fr,7,4,0.5,Standard,156.38,4.1,Aide à domicile,1
191,65,F,fr,8,3,0.28,Basic,67.46,4.8,Yoga,1
192,72,H,fr,3,3,0.07,Basic,133.87,5.0,Aide à domicile,1
193,69,H,fr,13,6,0.14,Standard,280.54,4.8,Informatique,1
194,61,F,es,2,7,0.2,Standard,303.38,4.4,Informatique,1
195,68,H,fr,4,2,0.15,Premium,481.55,4.2,Club Voyage,1
196,69,F,en,16,3,0.16,Basic,126.07,4.1,Yoga,1
197,63,F,fr,29,3,0.09,Premium,552.04,4.0,Club Voyage,1
198,68,F,it,20,6,0.09,Standard,169.45,4.9,Yoga,1
199,68,F,fr,11,3,0.3,Basic,71.58,4.6,Sport Senior,1
200,62,F,fr,33,5,0.48,Basic,97.07,4.1,Sport Senior,1
201,69,F,fr,13,7,0.14,Standard,161.23,3.6,Yoga,1
202,70,H,en,3,2,0.11,Standard,289.13,4.6,Club Voyage,1
203,73,H,fr,7,6,0.29,Standard,262.83,4.4,Jardinage,1
204,73,F,en,25,4,0.21,Basic,142.62,3.5,Yoga,1
205,61,F,fr,32,2,0.19,Basic,68.18,4.0,Yoga,1
206,63,H,fr,30,4,0.06,Basic,75.42,4.8,Sport Senior,1
207,70,F,it,1,8,0.08,Basic,105.59,3.8,Sport Senior,1
208,70,F,fr,13,2,0.23,Standard,336.53,3.7,Club Voyage,1
209,70,H,de,9,3,0.37,Premium,547.13,3.9,Club Voyage,1
210,87,F,fr,8,2,0.3,Premium,424.05,3.3,Club Voyage,1
211,70,H,it,1,4,0.11,Standard,171.19,4.3,Informatique,1
212,73,F,en,6,2,0.26,Basic,64.24,4.7,Aide à domicile,1
213,72,F,fr,8,5,0.15,Standard,275.49,4.8,Jardinage,1
214,71,H,fr,5,4,0.33,Standard,160.15,4.8,Jardinage,1
215,66,H,fr,19,4,0.18,Standard,204.79,3.3,Informatique,1
216,71,H,en,3,4,0.09,Standard,180.2,4.8,Informatique,1
217,64,F,es,6,5,0.19,Basic,74.58,4.4,Sport Senior,1
218,66,F,fr,9,3,0.09,Standard,165.85,5.0,Informatique,1
219,65,F,fr,10,1,0.22,Standard,224.58,4.8,Club Voyage,1
220,68,H,fr,2,5,0.18,Basic,66.24,4.3,Sport Senior,1
221,79,F,fr,1,2,0.53,Basic,131.86,4.6,Jardinage,1
222,60,H,fr,26,4,0.43,Basic,80.46,2.7,Sport Senior,1
223,71,F,fr,2,5,0.06,Standard,195.6,5.0,Aide à domicile,1
224,60,F,fr,13,3,0.28,Basic,132.62,4.7,Informatique,1
225,65,F,fr,16,6,0.03,Basic,148.88,4.9,Yoga,1
226,73,H,it,19,4,0.15,Standard,269.54,4.9,Jardinage,1
227,68,F,fr,2,3,0.17,None,38.46,4.2,Sport Senior,0
228,62,F,en,5,3,0.07,Premium,409.29,4.9,Club Voyage,1
229,64,H,fr,3,5,0.08,Standard,254.62,5.0,Informatique,1
230,71,F,en,1,3,0.28,Basic,53.18,3.9,Yoga,1
231,64,F,it,12,7,0.08,Standard,185.17,5.0,Sport Senior,1
232,69,F,fr,2,10,0.08,Standard,170.71,5.0,Yoga,1
233,68,H,de,3,3,0.36,Standard,165.08,3.9,Informatique,1
234,64,H,fr,7,2,0.27,Standard,349.69,4.4,Club Voyage,1
235,78,F,fr,2,4,0.14,Basic,114.03,5.0,Yoga,1
236,71,F,fr,12,3,0.15,None,37.58,4.5,Yoga,0
237,60,H,fr,19,5,0.56,Standard,200.23,3.4,Jardinage,1
238,68,H,fr,12,2,0.25,Standard,227.01,2.3,Club Voyage,1
239,64,F,fr,7,3,0.35,Premium,556.52,3.9,Club Voyage,1
240,72,H,fr,22,9,0.28,Standard,350.29,4.0,Jardinage,1
241,64,H,it,21,2,0.3,Basic,131.71,4.6,Jardinage,1
242,67,H,fr,29,2,0.26,None,49.79,3.1,Sport Senior,0
243,70,H,fr,29,1,0.3,Basic,67.13,5.0,Informatique,1
244,72,F,de,20,4,0.13,Standard,199.72,4.4,Jardinage,1
245,61,H,fr,10,3,0.24,Basic,137.12,3.9,Informatique,1
246,66,F,en,1,3,0.22,Standard,165.53,5.0,Informatique,1
247,65,F,fr,16,2,0.49,Basic,71.2,3.5,Yoga,1
248,64,H,en,8,1,0.22,None,43.44,4.5,Sport Senior,0
249,76,H,fr,2,5,0.45,Basic,80.61,4.5,Sport Senior,1
250,70,F,fr,16,3,0.2,Premium,540.07,4.9,Club Voyage,1
251,61,H,fr,7,2,0.23,Basic,128.49,4.4,Informatique,1
252,72,H,fr,6,4,0.15,Basic,112.19,3.1,Yoga,1
253,78,F,fr,20,4,0.15,Basic,115.31,4.1,Yoga,1
254,73,F,fr,5,3,0.12,Basic,62.55,4.1,Aide à domicile,1
255,60,F,it,4,2,0.24,Basic,65.92,4.6,Yoga,1
256,65,H,fr,4,2,0.15,Basic,89.16,4.6,Informatique,1
257,74,F,en,4,2,0.09,Basic,94.18,4.8,Aide à domicile,1
258,64,F,fr,10,4,0.02,Standard,226.49,5.0,Informatique,1
259,70,F,fr,21,4,0.01,Basic,98.88,4.8,Sport Senior,1
260,71,H,en,39,5,0.05,Standard,213.59,5.0,Aide à domicile,1
261,63,F,fr,1,4,0.28,Basic,87.35,3.4,Sport Senior,1
262,67,F,fr,4,5,0.21,Basic,100.02,4.3,Sport Senior,1
263,60,H,fr,8,2,0.51,Basic,67.85,3.8,Sport Senior,1
264,62,H,fr,54,6,0.34,Standard,281.31,4.0,Informatique,1
265,66,F,fr,24,3,0.34,Basic,71.54,3.9,Yoga,1
266,61,F,fr,5,4,0.16,Basic,58.33,4.7,Yoga,1
267,76,F,fr,6,2,0.16,Basic,90.6,5.0,Aide à domicile,1
268,60,H,fr,1,1,0.19,Basic,86.49,3.4,Informatique,1
269,65,F,fr,16,1,0.16,Standard,285.56,3.9,Club Voyage,1
270,68,H,fr,18,2,0.36,Premium,435.7,4.1,Club Voyage,1
271,75,F,es,4,3,0.3,Basic,145.12,4.2,Aide à domicile,1
272,60,H,fr,21,7,0.33,Standard,163.13,2.7,Sport Senior,1
273,73,H,de,9,5,0.14,Standard,219.83,4.7,Jardinage,1
274,68,H,en,8,2,0.34,Basic,138.07,4.0,Informatique,1
275,63,F,fr,7,2,0.25,Premium,491.92,4.3,Club Voyage,1
276,70,H,de,11,5,0.02,Basic,101.53,4.5,Sport Senior,1
277,68,H,fr,10,4,0.11,Standard,196.41,3.6,Informatique,1
278,64,H,fr,16,8,0.2,Basic,108.11,3.7,Sport Senior,1
279,68,F,fr,8,5,0.04,Standard,176.98,4.6,Yoga,1
280,66,F,fr,4,5,0.22,None,47.96,3.8,Sport Senior,0
281,68,H,fr,2,6,0.17,Basic,125.16,5.0,Sport Senior,1
282,71,H,en,3,5,0.25,Standard,230.92,4.4,Jardinage,1
283,75,F,fr,6,2,0.13,Basic,74.71,4.2,Aide à domicile,1
284,61,F,fr,34,7,0.38,Standard,371.88,3.4,Informatique,1
285,78,F,fr,15,2,0.2,Basic,57.18,5.0,Yoga,1
286,60,F,fr,7,2,0.17,Premium,645.85,4.9,Club Voyage,1
287,67,F,fr,3,1,0.31,Standard,265.36,3.8,Club Voyage,1
288,70,F,fr,16,3,0.16,Basic,108.61,5.0,Yoga,1
289,69,H,fr,7,2,0.02,None,45.42,4.6,Sport Senior,0
290,64,F,fr,18,9,0.17,Basic,125.82,4.7,Sport Senior,1
291,66,H,de,21,3,0.1,Basic,68.95,4.7,Sport Senior,1
292,65,F,fr,11,1,0.11,Basic,61.5,4.4,Informatique,1
293,65,F,en,21,3,0.14,Standard,316.96,4.9,Club Voyage,1
294,72,H,fr,11,5,0.03,Standard,188.53,3.9,Jardinage,1
295,69,H,fr,9,3,0.12,Basic,54.19,4.8,Sport Senior,1
296,64,F,fr,18,1,0.15,Standard,195.81,4.6,Club Voyage,1
297,72,F,de,7,3,0.15,Basic,93.46,4.1,Yoga,1
298,69,F,fr,12,1,0.06,Basic,61.07,5.0,Informatique,1
299,72,H,fr,6,4,0.23,Standard,169.81,4.1,Aide à domicile,1
300,71,H,fr,34,2,0.3,Basic,90.4,4.6,Jardinage,1
301,63,F,en,15,1,0.05,Standard,300.69,5.0,Club Voyage,1
302,65,F,fr,25,3,0.1,Premium,526.56,4.8,Club Voyage,1
303,71,F,fr,9,7,0.5,Basic,137.18,3.2,Portage repas,1
304,71,F,fr,27,5,0.14,Standard,195.41,4.5,Aide à domicile,1
305,67,F,fr,10,2,0.24,Basic,122.26,4.0,Informatique,1
306,68,H,fr,17,2,0.04,Premium,457.32,5.0,Club Voyage,1
307,74,H,fr,17,10,0.51,Basic,103.58,3.3,Sport Senior,1
308,65,F,fr,2,3,0.31,Premium,619.49,5.0,Club Voyage,1
309,70,H,fr,6,3,0.23,Standard,245.25,4.8,Club Voyage,1
310,66,F,it,56,5,0.33,Standard,281.11,4.5,Informatique,1
311,66,H,fr,3,2,0.35,Basic,67.29,3.3,Sport Senior,1
312,73,H,de,6,2,0.28,Basic,114.09,4.2,Jardinage,1
313,72,H,en,46,1,0.16,Basic,75.57,4.2,Yoga,1
314,72,F,fr,5,2,0.36,Basic,104.44,3.4,Jardinage,1
315,74,F,en,21,4,0.37,Basic,112.39,3.0,Aide à domicile,1
316,68,H,fr,7,2,0.47,Standard,283.51,3.4,Club Voyage,1
317,71,H,fr,33,5,0.17,Standard,281.74,3.6,Jardinage,1
318,66,H,en,11,3,0.04,Basic,71.45,4.2,Sport Senior,1
319,69,F,fr,43,6,0.14,Basic,129.58,5.0,Sport Senior,1
320,67,H,fr,2,2,0.15,Premium,454.55,5.0,Club Voyage,1
321,68,H,en,4,1,0.05,Basic,121.64,4.4,Club Voyage,1
322,70,H,fr,11,2,0.24,Basic,111.32,5.0,Informatique,1
323,63,H,fr,2,2,0.32,Standard,251.94,4.3,Club Voyage,1
324,78,H,it,17,5,0.37,Standard,161.25,4.1,Aide à domicile,1
325,62,F,fr,33,4,0.06,Premium,769.63,4.5,Club Voyage,1
326,61,F,fr,13,2,0.11,Basic,63.09,4.5,Sport Senior,1
327,73,H,fr,15,4,0.37,Basic,145.49,3.9,Aide à domicile,1
328,71,F,es,3,2,0.26,None,48.31,4.4,Yoga,0
329,71,H,fr,13,6,0.06,Standard,211.39,4.1,Jardinage,1
330,71,F,fr,7,9,0.5,Standard,315.08,2.9,Jardinage,1
331,67,F,fr,17,4,0.08,Basic,109.67,5.0,Yoga,1
332,63,H,fr,5,5,0.07,Basic,101.18,4.4,Sport Senior,1
333,68,F,fr,14,2,0.25,Basic,68.3,3.8,Yoga,1
334,64,F,fr,1,3,0.19,Basic,109.87,4.6,Jardinage,1
335,72,F,en,5,4,0.26,Standard,155.51,4.5,Aide à domicile,1
336,67,H,fr,11,3,0.04,None,43.76,4.2,Sport Senior,0
337,63,F,fr,11,7,0.21,Basic,108.8,4.2,Sport Senior,1
338,66,F,fr,11,2,0.3,Basic,63.66,4.4,Sport Senior,1
339,70,H,fr,8,5,0.15,Basic,115.04,5.0,Sport Senior,1
340,65,F,fr,12,4,0.26,Basic,81.64,4.9,Sport Senior,1
341,63,H,fr,4,3,0.25,Premium,541.48,4.2,Club Voyage,1
342,69,F,fr,8,6,0.33,Basic,131.49,4.3,Yoga,1
343,69,F,fr,3,2,0.26,Standard,299.93,3.6,Club Voyage,1
344,65,H,fr,6,3,0.11,Basic,67.79,4.6,Sport Senior,1
345,65,F,fr,13,4,0.01,Basic,126.36,5.0,Informatique,1
346,69,F,fr,11,2,0.3,Basic,62.34,4.4,Yoga,1
347,60,H,fr,1,1,0.21,None,23.84,4.8,Sport Senior,0
348,60,F,fr,15,2,0.09,Premium,564.33,4.8,Club Voyage,1
349,64,H,de,11,6,0.24,Standard,327.7,4.1,Informatique,1
350,66,F,fr,6,4,0.16,Premium,589.6,5.0,Club Voyage,1
351,69,H,de,11,5,0.14,Basic,95.33,4.4,Sport Senior,1
352,75,F,fr,1,1,0.07,None,43.78,4.9,Aide à domicile,0
353,72,H,fr,17,1,0.29,Basic,76.27,4.8,Jardinage,1
354,67,H,es,12,4,0.02,Basic,124.65,4.3,Sport Senior,1
355,67,H,fr,4,4,0.12,Standard,203.39,4.4,Informatique,1
356,62,F,en,1,9,0.17,Standard,221.86,4.4,Yoga,1
357,67,F,fr,13,8,0.16,Standard,188.44,4.8,Sport Senior,1
358,66,H,fr,25,3,0.12,Basic,68.79,4.5,Sport Senior,1
359,69,H,en,2,1,0.2,Standard,157.96,4.3,Club Voyage,1
360,63,F,fr,28,4,0.18,Basic,118.8,3.5,Yoga,1
361,70,H,fr,22,4,0.06,Standard,231.64,4.7,Informatique,1
362,75,F,fr,8,7,0.03,Standard,249.5,5.0,Aide à domicile,1
363,67,F,fr,6,6,0.11,Standard,207.75,4.3,Yoga,1
364,70,H,fr,4,2,0.15,Standard,264.18,4.7,Club Voyage,1
365,71,H,fr,1,2,0.14,Standard,152.57,4.6,Jardinage,1
366,65,F,fr,4,4,0.13,Basic,81.62,4.4,Yoga,1
367,69,F,fr,21,1,0.28,None,34.89,3.5,Yoga,0
368,68,F,fr,8,1,0.44,Standard,250.91,2.4,Club Voyage,1
369,68,F,fr,1,6,0.3,Standard,168.14,4.5,Sport Senior,1
370,64,F,fr,9,5,0.35,Basic,96.82,4.5,Sport Senior,1
371,68,F,fr,16,5,0.35,Standard,169.6,4.4,Yoga,1
372,70,F,fr,17,2,0.16,Premium,444.99,3.8,Club Voyage,1
373,75,F,fr,23,6,0.09,Standard,296.95,5.0,Informatique,1
374,72,H,fr,16,8,0.4,Premium,410.24,4.2,Informatique,1
